0.0,6.0
0.02,-7.66
0.04,-7.04
0.06,-7.18
0.08,-7.03
0.1,-6.52
0.12,-6.87
0.14,-6.32
0.16,-6.36
0.18,-5.88
0.2,-6.05
0.22,-5.63
0.24,-5.48
0.26,-4.78
0.28,-4.01
0.3,-2.8
0.32,-2.87
0.34,-2.68
0.36,-3.05
0.38,-3.41
0.4,-3.89
0.42,-4.21
0.44,-4.2
0.46,-4.53
0.48,-4.81
0.5,-4.94
0.52,-5.34
0.54,-5.08
0.56,-4.31
0.58,-4.08
0.6,-4.06
0.62,-3.7
0.64,-3.98
0.66,-3.85
0.68,-3.74
0.7,-3.92
0.72,-3.63
0.74,-3.27
0.76,-2.94
0.78,-2.77
0.8,-3.05
0.82,-2.7
0.84,-2.86
0.86,-3.01
0.88,-3.6
0.9,-3.98
0.92,-3.81
0.94,-3.76
0.96,-3.65
0.98,-3.3
1.0,-3.15
1.02,-3.07
1.04,-3.06
1.06,-2.78
1.08,-2.9
1.1,-2.98
1.12,-2.81
1.14,-2.57
1.16,-2.67
1.18,-2.56
1.2,-2.64
1.22,-2.68
1.24,-2.58
1.26,-2.72
1.28,-2.66
1.3,-2.71
1.32,-3.03
1.34,-3.01
1.36,-3.21
1.38,-3.42
1.4,-3.62
1.42,-3.25
1.44,-2.08
1.46,-0.84
1.48,0.0
1.5,-0.23
1.52,-0.75
1.54,-1.56
1.56,-2.41
1.58,-2.5
1.6,-2.82
1.62,-2.77
1.64,-3.15
1.66,-3.67
1.68,-3.49
1.7,-3.4
1.72,-3.29
1.74,-3.08
1.76,-3.23
1.78,-3.23
1.8,-2.87
1.82,-3.06
1.84,-2.78
1.86,-2.61
1.88,-2.68
1.9,-2.71
1.92,-2.65
1.94,-2.53
1.96,-2.69
1.98,-2.6
2.0,-2.89
2.02,-2.98
2.04,-2.79
2.06,-3.28
2.08,-2.91
2.1,-2.34
2.12,-1.34
2.14,-0.86
2.16,-0.14
2.18,0.07
2.2,0.07
2.22,0.31
2.24,1.36
2.26,2.98
2.28,3.37
2.3,4.15
2.32,6.24
2.34,11.18
2.36,18.64
2.38,28.79
2.4,37.69
2.42,42.4
2.44,45.77
2.46,40.99
2.48,38.59
2.5,37.97
2.52,40.36
2.54,39.77
2.56,39.07
2.58,38.26
2.6,39.13
2.62,39.27
2.64,41.29
2.66,41.07
2.68,43.31
2.7,43.78
2.72,42.75
2.74,42.72
2.76,42.97
2.78,45.21
2.8,44.97
2.82,45.17
2.84,44.02
2.86,43.33
2.88,43.68
2.9,43.14
2.92,42.85
2.94,42.01
2.96,41.74
2.98,41.4
3.0,39.77
3.02,40.32
3.04,40.16
3.06,38.69
3.08,35.19
3.1,33.96
3.12,31.17
3.14,28.95
3.16,25.86
3.18,23.33
3.2,20.46
3.22,18.01
3.24,14.03
3.26,11.91
3.28,-17.71
3.3,-38.31
3.32,-41.32
3.34,-37.33
3.36,-36.85
3.38,-33.84
3.4,-32.47
3.42,-32.42
3.44,-30.3
3.46,-30.23
3.48,-29.87
3.5,-29.26
3.52,-27.89
3.54,-27.88
3.56,-28.16
3.58,-26.94
3.6,-26.62
3.62,-26.11
3.64,-25.22
3.66,-24.67
3.68,-23.54
3.7,-24.65
3.72,-23.78
3.74,-22.53
3.76,-22.42
3.78,-21.64
3.8,-20.02
3.82,-19.63
3.84,-19.42
3.86,-19.35
3.88,-19.07
3.9,-18.57
3.92,-17.34
3.94,-16.76
3.96,-17.21
